name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Leicester,2021-08-14,21.1,14.7,17.8,21.1,14.7,17.8,13.5,75.9,0.273,100,8.33,rain,0,0,29.5,19,232.7,1018.2,74.2,30.8,114.3,9.8,4,,2021-08-14T05:45:13,2021-08-14T20:32:06,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
Leicester,2021-08-15,20.7,14.4,17.2,20.7,14.4,17.2,13.3,79.5,0.506,100,8.33,rain,0,0,32.1,19.7,243.9,1012.2,74.9,32,122.2,10.6,4,,2021-08-15T05:46:53,2021-08-15T20:30:02,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
Leicester,2021-08-16,17.4,12.5,14.6,17.4,12.5,14.6,10.3,75.9,0.702,100,8.33,rain,0,0,41.1,22.9,290.5,1016.2,56.5,22.2,87.1,7.5,3,,2021-08-16T05:48:33,2021-08-16T20:27:57,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
Leicester,2021-08-17,17.7,12.6,15.3,17.7,12.6,15.3,12.1,81.8,0.549,100,12.5,rain,0,0,44.6,22.8,277.8,1018.6,90.6,36,90,7.7,4,,2021-08-17T05:50:14,2021-08-17T20:25:51,0.32,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,C7079,03560099999,03544099999"
Leicester,2021-08-18,18.5,14.4,16.3,18.5,14.4,16.3,12.7,79.8,0.11,100,12.5,rain,0,0,35.3,23.2,277.4,1016.1,90.4,35,145.4,12.5,6,,2021-08-18T05:51:54,2021-08-18T20:23:44,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
Leicester,2021-08-19,19.8,13.6,16.6,19.8,13.6,16.6,12.8,78.9,0.483,100,12.5,rain,0,0,25.9,13.8,250.2,1013,84.7,33.3,156.5,13.3,6,,2021-08-19T05:53:34,2021-08-19T20:21:36,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,D3696,03379099999,03354099999,03535099999,03560099999,03544099999"
Leicester,2021-08-20,20.9,15.3,17.9,20.9,15.3,17.9,14.1,79.5,0.217,100,8.33,rain,0,0,25.9,9.7,227.8,1014.8,86.9,40,96.6,8.3,3,,2021-08-20T05:55:15,2021-08-20T20:19:27,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03462099999,D6997,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
Leicester,2021-08-21,18.7,15.4,16.7,18.7,15.4,16.7,15.1,90.3,1.536,100,37.5,rain,0,0,18.4,9.2,167.8,1014.9,80.5,19.6,59.6,5.1,4,,2021-08-21T05:56:56,2021-08-21T20:17:17,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,E7347,03379099999,03354099999,03535099999,03560099999,03544099999,AU757"
Leicester,2021-08-22,20.4,14.5,17,20.4,14.5,17,14.8,88,3.819,100,16.67,rain,0,0,27.7,15.4,312.6,1018.6,74.6,20.4,149.7,13.1,5,,2021-08-22T05:58:36,2021-08-22T20:15:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03462099999,D6997,E7347,F4718,03379099999,03354099999,03535099999,03560099999,03544099999,AU757"
Leicester,2021-08-23,20.9,13.3,16.7,20.9,13.3,16.7,12.4,77.5,1.083,100,8.33,rain,0,0,29.5,16.8,37.5,1028.6,54.1,27.2,248.6,21.8,8,,2021-08-23T06:00:17,2021-08-23T20:12:54,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03462099999,F4718,E7347,03379099999,03354099999,03535099999,03560099999,03544099999"
