name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Newcastle Upon Tyne,2021-08-15,16.9,11.9,13.7,16.9,11.9,13.7,11.3,85.3,0.704,100,8.33,rain,0,0,35.3,18.2,261.2,1010.7,69.8,12.5,65.3,5.5,2,,2021-08-15T05:41:13,2021-08-15T20:39:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-16,17.1,11,14.1,17.1,11,14.1,8.9,72,0.229,100,8.33,rain,0,0,47.5,23.2,303.1,1013.6,46.2,12.6,133.4,11.4,5,,2021-08-16T05:43:05,2021-08-16T20:37:03,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-17,18.9,13,15.8,18.9,13,15.8,12.4,81,0.894,100,8.33,rain,0,0,35.6,21.7,271.8,1015.1,85.6,14.1,87.2,7.5,5,,2021-08-17T05:44:57,2021-08-17T20:34:45,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-18,19.9,11.9,15.6,19.9,11.9,15.6,12,79.6,0,0,0,,0,0,45.4,33.1,269.4,1012.8,40.2,13.2,186.1,16.2,7,,2021-08-18T05:46:49,2021-08-18T20:32:27,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-19,17.8,10.1,13.7,17.8,10.1,13.7,10.6,82.7,0,0,0,,0,0,26.3,13.6,277,1011.4,70.9,12.9,74.3,6.4,3,,2021-08-19T05:48:41,2021-08-19T20:30:07,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D5933"
Newcastle Upon Tyne,2021-08-20,19.9,12.1,15.3,19.9,12.1,15.3,13.2,88.3,0.677,100,12.5,rain,0,0,30.6,11.3,104.7,1013.8,80.7,9.1,123.1,10.6,7,,2021-08-20T05:50:33,2021-08-20T20:27:47,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-21,17,15.1,16.2,17,15.1,16.2,15.6,96.1,9.674,100,16.67,rain,0,0,29.9,8.9,114.7,1014.2,81,6.2,48.8,4.2,2,,2021-08-21T05:52:25,2021-08-21T20:25:25,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-22,18.8,12.2,16,18.8,12.2,16,14.9,93.3,7.877,100,12.5,rain,0,0,33.8,13.5,68.7,1019.3,81.4,6.2,90.8,7.9,4,,2021-08-22T05:54:17,2021-08-22T20:23:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,AS567,D5933"
Newcastle Upon Tyne,2021-08-23,19,12,15.7,19,12,15.7,12.8,84,0,0,0,,0,0,24.1,11.1,67.4,1030,65.1,12.2,171.8,14.6,7,,2021-08-23T05:56:10,2021-08-23T20:20:39,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,AS567,D1436"
Newcastle Upon Tyne,2021-08-24,20.9,9.1,14.6,20.9,9.1,14.6,12,86.2,0,0,0,,0,0,25.9,12.8,84.2,1032.2,56.3,9.8,183.2,15.9,6,,2021-08-24T05:58:02,2021-08-24T20:18:15,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D5933"
Newcastle Upon Tyne,2021-08-25,20,10.1,14.5,20,10.1,14.5,12.8,90.4,0.157,100,4.17,rain,0,0,34.9,21.3,9.7,1028.1,84.4,9.6,147.6,12.8,5,,2021-08-25T05:59:54,2021-08-25T20:15:50,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-26,14.9,12,13.4,14.9,12,13.4,10.5,82.7,0.177,100,8.33,rain,0,0,50,20.8,359.1,1025.1,94.3,11.4,69.3,6,2,,2021-08-26T06:01:46,2021-08-26T20:13:25,0.63,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,AS567"
Newcastle Upon Tyne,2021-08-27,14.9,11,12.8,14.9,11,12.8,10.2,84.2,0.02,100,8.33,rain,0,0,40,15.7,349.6,1026,92.8,13.4,79.5,6.8,3,,2021-08-27T06:03:38,2021-08-27T20:10:58,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-28,21.7,7,14.1,21.7,7,14.1,9.8,77.6,0,0,0,,0,0,20.2,10.9,322.8,1027.7,60.4,13.4,216.3,18.5,7,,2021-08-28T06:05:30,2021-08-28T20:08:31,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-29,15.8,9,12.7,15.8,7.7,12.5,10.7,88.5,0.157,100,4.17,rain,0,0,40.3,21.2,1.3,1028.3,82.7,11.6,56.4,4.8,2,,2021-08-29T06:07:22,2021-08-29T20:06:03,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-30,14.8,11,12.9,14.8,11,12.9,10.8,88,0.612,100,8.33,rain,0,0,45.7,21.7,8.8,1030.1,89.8,10.7,81.3,7,3,,2021-08-30T06:09:14,2021-08-30T20:03:35,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-08-31,16.6,10.1,12.9,16.6,10.1,12.9,9.9,82.6,0.269,100,12.5,rain,0,0,45.7,26,7.8,1033.3,81.1,12.5,92.2,7.8,4,,2021-08-31T06:11:06,2021-08-31T20:01:06,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,AS567"
Newcastle Upon Tyne,2021-09-01,16,10.1,13.3,16,10.1,13.3,10.9,85.6,0.167,100,4.17,rain,0,0,49.7,21.2,13.7,1034.6,86.6,10.8,69.1,6.1,3,,2021-09-01T06:12:58,2021-09-01T19:58:37,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-09-02,16.9,12,13.8,16.9,12,13.8,11.3,85.4,0.157,100,4.17,rain,0,0,35.6,17.9,34.3,1032.1,92,11.6,108.6,9.4,4,,2021-09-02T06:14:50,2021-09-02T19:56:07,0.85,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-09-03,13.9,12,12.7,13.9,12,12.7,10.7,87.5,0,0,0,,0,0,24.8,10.7,54.2,1025.7,93.9,10.5,38,3.2,1,,2021-09-03T06:16:41,2021-09-03T19:53:36,0.88,Overcast,Cloudy skies throughout the day.,cloudy,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D5933"
Newcastle Upon Tyne,2021-09-04,14,11.9,12.7,14,11.9,12.7,11.7,93.2,1.374,100,16.67,rain,0,0,28.8,11.1,87.4,1021.5,92.8,8.4,51.6,4.6,2,,2021-09-04T06:18:33,2021-09-04T19:51:05,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-09-05,19.4,12.1,15.5,19.4,12.1,15.5,12,80.9,0,0,0,,0,0,30.6,12.8,142,1021.5,67.5,12,152.3,13.1,6,,2021-09-05T06:20:25,2021-09-05T19:48:34,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-09-06,20.9,14,17.1,20.9,14,17.1,14.7,86.2,0.429,100,12.5,rain,0,0,28.1,13.9,257.9,1022,62.7,7.9,106.5,9.1,6,,2021-09-06T06:22:17,2021-09-06T19:46:02,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-09-07,25.7,13.1,17.4,25.7,13.1,17.4,14.8,85.9,0,0,0,,0,0,26.3,11.9,225.8,1020.6,38.3,7.6,185.9,16.1,6,,2021-09-07T06:24:08,2021-09-07T19:43:30,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-09-08,26.9,12.1,18.6,27.2,12.1,18.6,13.8,77.3,0,0,0,,0,0,30.2,13.9,131.1,1013.9,30.6,7.9,189,16.4,6,,2021-09-08T06:26:00,2021-09-08T19:40:57,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
Newcastle Upon Tyne,2021-09-09,20.8,12.2,15.8,20.8,12.2,15.8,14.3,91.2,1.998,100,8.33,rain,0,0,30.2,12.9,45.8,1006.9,31.1,4.6,101.8,8.7,6,,2021-09-09T06:27:51,2021-09-09T19:38:25,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,AS567"
