name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Watford,2021-08-14,23.8,13.9,18.6,23.8,13.9,18.6,13.7,74.8,0,0,0,,0,0,36,20.7,232.1,1019.7,63.4,23.7,206.2,17.9,7,,2021-08-14T05:45:12,2021-08-14T20:26:10,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,D5621,03660099999,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-15,22.4,13.7,17.7,22.4,13.7,17.7,13.3,76.7,0.204,100,4.17,rain,0,0,45.4,26.2,238.7,1013.5,73.1,25.1,195.8,17.2,8,,2021-08-15T05:46:48,2021-08-15T20:24:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03680099999,03660099999,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-16,17.9,12,15.4,17.9,12,15.4,10.3,72.2,0.185,100,12.5,rain,0,0,49.3,23.3,303.7,1016.8,66.5,20.9,107.4,9.3,4,,2021-08-16T05:48:24,2021-08-16T20:22:10,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03680099999,03660099999,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-17,17.9,11.3,15.2,17.9,11.3,15.2,11.8,80.4,0.131,100,4.17,rain,0,0,38.2,20.7,276,1019.7,83.2,27.9,46.2,3.9,2,,2021-08-17T05:49:59,2021-08-17T20:20:09,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03680099999,03660099999,E0299,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-18,21.9,15.2,18,21.9,15.2,18,13.7,77.7,0.379,100,8.33,rain,0,0,39.2,24.5,271.1,1016.8,85.8,27.3,132.3,11.5,8,,2021-08-18T05:51:35,2021-08-18T20:18:06,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03680099999,03660099999,03672099999,03781099999,D4121,E4320,03772099999,03770099999"
Watford,2021-08-19,20.4,13.7,16.9,20.4,13.7,16.9,12.5,75.7,0.014,100,4.17,rain,0,0,35.6,17.4,241.2,1014.2,84.9,27.3,155.4,13.4,7,,2021-08-19T05:53:11,2021-08-19T20:16:02,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03680099999,03660099999,E0299,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-20,20.5,14,17.4,20.5,14,17.4,14.2,82.2,1.093,100,12.5,rain,0,0,23.4,12.8,245.9,1015.8,83.4,23.3,85.3,7.3,3,,2021-08-20T05:54:48,2021-08-20T20:13:57,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03680099999,D5621,03660099999,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-21,19.6,15.7,17.4,19.6,15.7,17.4,14.9,85.3,0.498,100,4.17,rain,0,0,36,13.5,167.4,1015.5,75.5,23.3,60.8,5.1,2,,2021-08-21T05:56:24,2021-08-21T20:11:52,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03680099999,03660099999,E0299,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-22,21.6,15.1,17.7,21.6,15.1,17.7,14.7,83.6,5.416,100,12.5,rain,0,0,40,19.7,309.3,1018.6,78.4,28.9,156.5,13.5,7,,2021-08-22T05:58:00,2021-08-22T20:09:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03680099999,03660099999,03672099999,03781099999,E4320,D4121,03772099999,03770099999"
Watford,2021-08-23,20.3,14.4,17.2,20.3,14.4,17.2,12.6,75.5,0.365,100,4.17,rain,0,0,32.8,17.8,38,1027.6,64.9,25.5,113.4,10,7,,2021-08-23T05:59:36,2021-08-23T20:07:38,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03680099999,03660099999,03672099999,03781099999,E4320,D4121,03772099999,03770099999"
Watford,2021-08-24,22.3,13,17,22.3,13,17,11.3,71.6,0,0,0,,0,0,37.8,21.6,58.7,1029.6,38.8,29.8,168,14.5,7,,2021-08-24T06:01:13,2021-08-24T20:05:29,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03660099999,E0299,03672099999,03781099999,D4121,E4320,03772099999,03770099999"
Watford,2021-08-25,20.3,13.4,16.7,20.3,13.4,16.7,12,74.9,0.014,100,4.17,rain,0,0,30.6,19.3,39.8,1026,47,35.2,226.3,19.6,8,,2021-08-25T06:02:49,2021-08-25T20:03:20,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03680099999,03660099999,E0299,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-26,17.8,15.2,16.4,17.8,15.2,16.4,10.6,69.1,0,0,0,,0,0,40,21.5,21.6,1022.2,95.3,29.6,100.9,8.6,3,,2021-08-26T06:04:25,2021-08-26T20:01:10,0.63,Overcast,Cloudy skies throughout the day.,cloudy,"03680099999,03660099999,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-27,18.2,11.9,15,18.2,11.9,15,10,72.6,0,0,0,,0,0,32,18.3,16.6,1023.5,62.9,27.7,111.8,9.7,3,,2021-08-27T06:06:01,2021-08-27T19:58:59,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03660099999,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-28,19.7,11,15.3,19.7,11,15.3,11.1,77.3,0,0,0,,0,0,39.2,19,27.1,1026,56.4,25.8,113.3,9.9,6,,2021-08-28T06:07:38,2021-08-28T19:56:48,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03660099999,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-29,17.7,9.3,14.2,17.7,9.3,14.2,9.7,75.6,0,0,0,,0,0,33.5,18.6,28.8,1025.5,63.1,33.6,123,10.8,4,,2021-08-29T06:09:14,2021-08-29T19:54:36,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03680099999,03660099999,E0299,03672099999,03781099999,D4121,03772099999,03770099999"
Watford,2021-08-30,16.3,13.3,15,16.3,13.3,15,11.3,79.1,0,0,0,,0,0,42.1,19.5,28,1026.3,98.1,32.4,57.4,4.9,3,,2021-08-30T06:10:50,2021-08-30T19:52:23,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"03680099999,03660099999,03672099999,03781099999,D4121,03772099999,03770099999"
