name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Burnley,2021-08-14,16.9,13.4,14.9,16.9,13.4,14.9,11.6,81.2,0.1,100,8.33,rain,0,0,36.4,17.7,252.8,1017.5,80.7,31.7,146.5,12.9,5,,2021-08-14T05:45:57,2021-08-14T20:40:07,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E8328,03346099999,03318099999,D6643,03344099999,03265099999,03316099999,D3656,03351099999"
Burnley,2021-08-15,17.6,12.8,15.3,17.6,12.8,15.3,12.6,84.6,0.623,100,20.83,rain,0,0,45.4,18,263.9,1011.6,77.1,33.9,151,13.2,4,,2021-08-15T05:47:43,2021-08-15T20:37:58,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,03318099999,D6643,03344099999,03265099999,03316099999,D3656,03351099999"
Burnley,2021-08-16,16.6,12.6,14,16.6,12.6,14,10.4,79,0.067,100,4.17,rain,0,0,56.2,24.2,294.8,1015.8,65.1,22,179.2,15.6,6,,2021-08-16T05:49:28,2021-08-16T20:35:48,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
Burnley,2021-08-17,16.2,13,14.5,16.2,13,14.5,12.8,89.3,1.198,100,25,rain,0,0,55.8,24,286.2,1017.6,80.2,31.5,132.9,11.7,4,,2021-08-17T05:51:14,2021-08-17T20:33:36,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
Burnley,2021-08-18,16,13.2,14.5,16,13.2,14.5,12.7,89.3,0.122,100,12.5,rain,0,0,58.7,22.1,285.8,1015.5,92.3,32.6,87.2,7.8,2,,2021-08-18T05:53:00,2021-08-18T20:31:24,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
Burnley,2021-08-19,16.9,13.4,15.1,16.9,13.4,15.1,13,87.7,1.97,100,37.5,rain,0,0,36.4,15,252.7,1012.3,86.4,29,105.3,9.2,3,,2021-08-19T05:54:46,2021-08-19T20:29:10,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,03318099999,D6643,03344099999,03265099999,03316099999,D3656,03351099999"
Burnley,2021-08-20,20.3,14.2,17.1,20.3,14.2,17.1,14,82.9,1.12,100,8.33,rain,0,0,25.9,10.1,205.7,1014.1,83.8,40.2,118.8,10.4,5,,2021-08-20T05:56:32,2021-08-20T20:26:55,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
Burnley,2021-08-21,17.6,15.1,16.3,17.6,15.1,16.3,14.8,91.2,8.605,100,41.67,rain,0,0,25.9,11.9,172,1014.5,80.4,27.7,88.1,7.6,3,,2021-08-21T05:58:18,2021-08-21T20:24:40,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,03318099999,03344099999,F1692,03265099999,03316099999,D3656,03351099999"
Burnley,2021-08-22,18.3,14.8,16.1,18.3,14.8,16.1,14.7,92,4.369,100,50,rain,0,0,24.8,14.1,311.7,1019.3,81.6,20.7,123.8,10.5,4,,2021-08-22T06:00:04,2021-08-22T20:22:24,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E8328,03346099999,03318099999,03344099999,F1692,03265099999,03316099999,D3656,03351099999"
Burnley,2021-08-23,20.2,14.1,16.6,20.2,14.1,16.6,13.2,81.6,0.126,100,8.33,rain,0,0,24.1,12.9,43.6,1029.5,67.9,34.7,181.3,15.7,5,,2021-08-23T06:01:50,2021-08-23T20:20:06,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E8328,03346099999,03318099999,03344099999,03265099999,03316099999,D3656,03351099999"
