name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Leeds,2021-08-21,17.6,14.9,16.1,17.6,14.9,16.1,14.6,90.9,8.297,100,41.67,rain,0,0,25.9,11.5,174.6,1014.6,81.2,24.9,46.8,4.1,2,,2021-08-21T05:55:29,2021-08-21T20:21:54,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F5682,F4675,03344099999,F1692,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-22,18.1,14.5,15.8,18.1,14.5,15.8,14.7,93.2,6.057,100,50,rain,0,0,24.8,11.8,321.1,1019.2,81.6,17.3,149.8,12.9,8,,2021-08-22T05:57:16,2021-08-22T20:19:38,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F5682,03344099999,F1692,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-23,19.6,13.4,15.9,19.6,13.4,15.9,12.8,83.4,0.156,100,8.33,rain,0,0,24.1,12.5,47.1,1029.7,68.5,32.4,198.8,17.3,9,,2021-08-23T05:59:02,2021-08-23T20:17:20,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E8328,03346099999,F5682,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-24,18.2,13.6,15.4,18.2,13.6,15.4,12.7,84.5,0,0,0,,0,0,16.2,9.8,66.2,1032.2,88.5,39,105.6,9,3,,2021-08-24T06:00:48,2021-08-24T20:15:02,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F5682,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-25,19,12.8,15.2,19,12.8,15.2,12.7,85.3,0.007,100,4.17,rain,0,0,23.4,14.3,35.5,1027.9,82.5,25.9,144.7,12.5,5,,2021-08-25T06:02:34,2021-08-25T20:12:43,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03346099999,F5682,F4675,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-26,14.9,11.8,13.7,14.9,11.8,13.7,10.4,80.8,0.018,100,4.17,rain,0,0,35.6,24.3,21.4,1024.6,91.6,35.7,123.2,10.8,3,,2021-08-26T06:04:20,2021-08-26T20:10:23,0.63,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03346099999,F5682,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-27,14.2,10.7,12.5,14.2,10.7,12.5,9.5,82.3,0,0,0,,0,0,24.5,15.1,18,1025.8,92.9,41.4,98.7,8.4,3,,2021-08-27T06:06:06,2021-08-27T20:08:03,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"03346099999,F5682,F4675,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-28,19.9,9,13.9,19.9,8.5,13.8,9.8,78.1,0,0,0,,0,0,17.3,8.8,333.4,1027.9,36.3,34.3,236.4,20.5,9,,2021-08-28T06:07:52,2021-08-28T20:05:42,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F5682,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-29,15.1,10.9,12.9,15.1,10.9,12.9,10.2,83.9,0,0,0,,0,0,27.7,16.9,17.6,1027.9,83.9,30.4,97.9,8.6,3,,2021-08-29T06:09:39,2021-08-29T20:03:20,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03346099999,F5682,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-30,15.2,11.6,12.9,15.2,11.6,12.9,10.5,85.9,0.055,100,8.33,rain,0,0,32.8,19.1,26.1,1029.3,91.1,37.2,91,7.8,4,,2021-08-30T06:11:25,2021-08-30T20:00:57,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03346099999,F5682,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-08-31,14.8,10.3,12.2,14.8,10.3,12.2,10.4,88.9,0.624,100,29.17,rain,0,0,31,16.2,24.8,1032.7,84.7,26,78.6,6.7,2,,2021-08-31T06:13:11,2021-08-31T19:58:34,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E8328,03346099999,F5682,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-09-01,15.8,10.6,12.8,15.8,10.6,12.8,10.7,87.4,0.47,100,16.67,rain,0,0,34.2,17.9,22,1034,87.7,18.5,114.2,9.8,6,,2021-09-01T06:14:57,2021-09-01T19:56:10,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03346099999,F5682,03344099999,03265099999,03257099999,03382099999,03351099999"
Leeds,2021-09-02,18,11.3,13.9,18,11.3,13.9,10.9,82.5,0.156,100,8.33,rain,0,0,31.7,17.7,48.9,1031.2,88.6,21.2,163.5,13.9,6,,2021-09-02T06:16:42,2021-09-02T19:53:46,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03346099999,F5682,03344099999,03265099999,03257099999,03382099999,03351099999"
